column	row	N	corrected-left-p-value	corrected-right-p-value	corrected-two-tail-p-value	distribution	expected-mean	expected-stdev	left-p-value	observed	probability	right-p-value	two-tail-p-value
bones and joints	Cell cycle	114	1	0.006429036627737203	1	BINOMIAL	10.826982155696452	3.1302883998482938	0.9998408156508728	23	0.09497352768154782	4.1211773254725656E-4	1
cervix uteri	Cell cycle	122	0.9999999999999998	3.653219255408565E-18	1	BINOMIAL	7.2581559683493415	2.612727674725499	0.9999999999999999	41	0.05949308170778149	2.2832620346303535E-20	0.9999999999999999
mouth, nos	Cell cycle	120	1	1	1	BINOMIAL	3.942110655737705	1.9525902502966923	0.6403538282235255	4	0.03285092213114754	0.5582611762185465	1
lymph nodes	Cell cycle	122	1	1	1	BINOMIAL	9.838213023725391	3.007465510743875	0.7206564029155621	11	0.08064109035840485	0.3957851305796741	1
stomach	Cell cycle	120	1	0.0025340698473580335	1	BINOMIAL	5.627898986428449	2.3160214293949073	0.9999868347565807	17	0.046899158220237075	4.781263862939686E-5	1
HR systems	Cell cycle	122	1	1	1	BINOMIAL	5.746192893401015	2.339988791178758	0.9371397917803996	9	0.04709994174918865	0.1225325663694142	1
thyroid gland	Cell cycle	117	1	1	1	BINOMIAL	4.911844591402929	2.169248166074483	0.2716665325398928	3	0.041981577704298535	0.8732062496860159	1
pancreas	Cell cycle	122	1	1	1	BINOMIAL	3.1355295398856518	1.7478395525327786	0.9613173763248998	6	0.02570106180234141	0.09551734957931135	1
prostate gland	Cell cycle	121	1	1	1	BINOMIAL	4.998228987172124	2.1890097660127816	0.43710034513163626	4	0.04130767757993491	0.7406373875529804	1
skin	Systemic lupus erythematosus	86	1	1.050705293475618E-4	1	BINOMIAL	10.658570642745314	3.055745535966299	0.9999969705923129	26	0.12393686793889899	9.85036212633392E-6	1
liver	Systemic lupus erythematosus	75	1	1.5908276692481187E-5	1	BINOMIAL	7.777809982030027	2.6403065997106876	0.9999999298905243	24	0.10370413309373369	3.020558865660985E-7	1
testis	Systemic lupus erythematosus	87	1	2.366642765797459E-8	1	BINOMIAL	8.271552723059097	2.7358969666519926	0.9999999998207613	29	0.09507531865585168	8.930727418103619E-10	1
kidney	Systemic lupus erythematosus	86	0.9999999999999899	1.1158310530176428E-11	1	BINOMIAL	7.015952270130749	2.538421751418681	0.9999999999999899	32	0.08158084035035755	6.973944081360268E-14	1
adrenal cortex	Systemic lupus erythematosus	86	1	0.8820776232364528	1	BINOMIAL	12.860153175644227	3.307126964680362	0.5899546502829227	13	0.1495366648330724	0.5292465739418717	1
brain, nos	Systemic lupus erythematosus	86	1	1.4833979755815276E-5	1	BINOMIAL	8.515211780137943	2.769853034115002	0.9999998590372943	25	0.09901409046672026	5.562742408430729E-7	1
colon, nos	Systemic lupus erythematosus	90	1	0.10709410064657317	1	BINOMIAL	7.829532114707362	2.6736498507313695	0.9954383618151121	15	0.08699480127452625	0.010709410064657317	1
ovary	Systemic lupus erythematosus	81	1	0.0011721003265664628	1	BINOMIAL	6.755735668997974	2.488429086395286	0.9999917140114442	19	0.08340414406170338	3.00538545273452E-5	1
urinary bladder	Systemic lupus erythematosus	84	1	5.673067723482748E-6	1	BINOMIAL	5.6061910857674855	2.2873635080650687	0.9999999781181654	21	0.06674037006866054	1.084025679646385E-7	1
breast	Systemic lupus erythematosus	96	0.9999999999995934	5.460146850022612E-10	1	BINOMIAL	3.452516657301116	1.8243769707993394	0.9999999999995933	22	0.03596371518021996	3.412591781264133E-12	1
lung	Systemic lupus erythematosus	97	0.9874265642675407	1	1	BINOMIAL	2.3559463986599667	1.5161546490927453	0.5801131065071802	2	0.024288107202680067	0.6855628041463456	1
bones and joints	Systemic lupus erythematosus	81	1	9.273611744827027E-5	1	BINOMIAL	7.692855742205373	2.6386053313110085	0.9999997038878337	23	0.09497352768154782	1.1889245826701316E-6	1
cervix uteri	Systemic lupus erythematosus	86	1	0.7966462619530803	1	BINOMIAL	5.1164050268692085	2.193630398347811	0.930207459114462	8	0.05949308170778149	0.13941309584178904	1
mouth, nos	Systemic lupus erythematosus	75	1	7.598493695821244E-6	1	BINOMIAL	2.4638191598360657	1.5436581319939535	0.9999999803091103	14	0.03285092213114754	1.4427519675609958E-7	1
lymph nodes	Systemic lupus erythematosus	87	1	5.9666731113402066E-5	1	BINOMIAL	7.015774861181222	2.539687997897868	0.9999997274919379	22	0.08064109035840485	1.1187512083762887E-6	1
stomach	Systemic lupus erythematosus	84	1	0.1052521185220408	1	BINOMIAL	3.939529290499914	1.9377225505710307	0.9981067295832906	10	0.046899158220237075	0.005957667086153254	1
HR systems	Systemic lupus erythematosus	90	1	7.917883492058234E-4	1	BINOMIAL	4.238994757426978	2.0098105262131183	0.9999955049420245	15	0.04709994174918865	1.9794708730145586E-5	1
thyroid gland	Systemic lupus erythematosus	85	1	0.018129809290486524	1	BINOMIAL	3.5684341048653754	1.8489525713790769	0.9999456213730263	12	0.041981577704298535	2.2662261613108157E-4	1
pancreas	Systemic lupus erythematosus	88	0.9999832878494959	0.014590592340296703	1	BINOMIAL	2.261693438606044	1.4844411459409497	0.9999832878494957	10	0.02570106180234141	9.11912021268544E-5	1
prostate gland	Systemic lupus erythematosus	91	1	1	1	BINOMIAL	3.7589986597740763	1.89834748007648	0.9956089358958264	9	0.04130767757993491	0.013024089378023847	1
skin	Cell adhesion molecules (CAMs)	128	1	2.323680492454528E-9	1	BINOMIAL	15.863919096179071	3.7279746042807944	0.9999999999926663	45	0.12393686793889899	2.90460061556816E-11	1
liver	Cell adhesion molecules (CAMs)	124	1	0.010085320246345472	1	BINOMIAL	12.859312503622977	3.394959299940626	0.9991162027322488	24	0.10370413309373369	0.0019787653647893016	1
testis	Cell adhesion molecules (CAMs)	125	0.999999999999995	4.082428080309903E-12	1	BINOMIAL	11.884414831981461	3.279405480387031	0.999999999999995	43	0.09507531865585168	2.567564830383587E-14	1
kidney	Cell adhesion molecules (CAMs)	128	1	2.228652122253608E-9	1	BINOMIAL	10.442347564845766	3.096845503940282	0.999999999993909	36	0.08158084035035755	2.78581515281701E-11	1
adrenal cortex	Cell adhesion molecules (CAMs)	128	1	0.1760527677497303	1	BINOMIAL	19.140693098633268	4.034657072177293	0.9769145174398108	27	0.1495366648330724	0.0385115429452535	1
brain, nos	Cell adhesion molecules (CAMs)	128	1	0.17907874058721684	1	BINOMIAL	12.673803579740193	3.37918902187172	0.9925883107337895	21	0.09901409046672026	0.01455014767271137	1
colon, nos	Cell adhesion molecules (CAMs)	130	1	0.31606586812418236	1	BINOMIAL	11.309324165688412	3.213327209816198	0.966796242454919	17	0.08699480127452625	0.05926235027328419	1
ovary	Cell adhesion molecules (CAMs)	120	0.9999994928726043	2.6656704017982913E-4	1	BINOMIAL	10.008497287404406	3.0288194297126	0.9999994928726043	27	0.08340414406170338	1.7087630780758278E-6	1
urinary bladder	Cell adhesion molecules (CAMs)	121	1	0.17575613060644546	1	BINOMIAL	8.075584778307926	2.745290014130167	0.9849030379503817	14	0.06674037006866054	0.031345042401149506	1
breast	Cell adhesion molecules (CAMs)	130	1	0.008415799042282407	1	BINOMIAL	4.675282973428595	2.123003162547168	0.9999260763785356	14	0.03596371518021996	2.629937200713252E-4	1
lung	Cell adhesion molecules (CAMs)	129	1	1	1	BINOMIAL	3.1331658291457285	1.7484470714332943	0.7942987195445279	4	0.024288107202680067	0.3829312691660829	1
bones and joints	Cell adhesion molecules (CAMs)	120	1	0.002732748523175749	1	BINOMIAL	11.396823321785739	3.2116081340276263	0.999947667203545	25	0.09497352768154782	1.4014094990644866E-4	1
cervix uteri	Cell adhesion molecules (CAMs)	128	1	0.9047439340422666	1	BINOMIAL	7.615114458596031	2.6762039966894657	0.8587558696028442	10	0.05949308170778149	0.23184063309833083	1
mouth, nos	Cell adhesion molecules (CAMs)	120	1	0.4430962923580369	1	BINOMIAL	3.942110655737705	1.9525902502966923	0.9821727135325105	8	0.03285092213114754	0.04487051061853538	1
lymph nodes	Cell adhesion molecules (CAMs)	128	1	0.6059358810319377	1	BINOMIAL	10.32205956587582	3.0805320040115136	0.9712642684707696	16	0.08064109035840485	0.053019389590294556	1
stomach	Cell adhesion molecules (CAMs)	121	1	0.3097654417752416	1	BINOMIAL	5.674798144648686	2.32565149766574	0.9883635600612652	11	0.046899158220237075	0.027274944558826304	1
HR systems	Cell adhesion molecules (CAMs)	130	1	0.022217843487345956	1	BINOMIAL	6.122992427394524	2.4154916354095533	0.9995702295251667	15	0.04709994174918865	0.0012497536961632101	1
thyroid gland	Cell adhesion molecules (CAMs)	125	1	0.043100928455893785	1	BINOMIAL	5.247697213037317	2.2421843378097974	0.9997457787739661	14	0.041981577704298535	8.081424085480085E-4	1
pancreas	Cell adhesion molecules (CAMs)	127	1	1	1	BINOMIAL	3.264034848897359	1.7832962982972997	0.5875409028867409	3	0.02570106180234141	0.6366524095394173	1
prostate gland	Cell adhesion molecules (CAMs)	129	1	0.7333469635032436	1	BINOMIAL	5.328690407811603	2.260215605317871	0.9926164347970791	11	0.04130767757993491	0.01833367408758109	1
